personID,personDeptID
0,5
33263,33266
33271,33273
33277,33279
33281,33286
33292,33294
33297,33302
33305,33307
33310,33312
33314,33318
33321,33324
33327,33307
33331,33294
33334,33307
33337,33342
33348,33350
33352,33266
33355,33360
33363,33366
33371,33279
33373,33375
33377,33279
33379,33273
33381,33307
33383,33386
33390,33307
33392,33273
33393,33396
33398,33307
33400,33386
33404,33406
33409,33279
33411,33406
33414,33419
33424,33429
33432,33279
33434,33307
33436,33438
33440,33438
33443,33279
33445,33448
33451,33453
33456,33459
33462,33438
33465,33467
33468,33470
33472,33279
33474,33477
33479,33273
33480,33366
33483,33485
33487,33279
33490,33438
33492,33266
33495,33497
33499,33501
33505,33406
33507,33279
33509,33307
33511,33307
33513,33467
33515,33517
33519,33524
33527,33530
33532,33438
33534,33536
33539,33541
33542,33545
33547,33549
33551,33553
33555,33307
33557,33266
33560,33307
33562,33279
33563,33375
33566,33568
33571,33573
33574,33307
33576,33273
33578,33307
33580,33279
33582,33568
33588,33590
33591,33593
33596,33598
33599,33602
33605,33279
33607,33294
33610,33406
33612,33615
33619,33621
33623,33626
33629,33438
33631,33273
33633,33273
33635,33273
33637,33279
33639,33273
33642,33545
33645,33307
33647,33307
33650,33438
33651,33279
33653,33279
33654,33386
33658,33438
33661,33273
33662,33307
33664,33667
33669,33279
33670,33467
33673,33676
33679,33545
33681,33279
33683,33307
33685,33307
33687,33690
33692,33438
33695,33279
33697,33273
33699,33568
33701,33438
33702,33568
33704,33279
33706,33501
33709,33553
33713,33294
33715,33541
33716,33718
33719,33676
33721,33453
33724,33307
33726,33279
33728,33731
33732,33438
33733,33279
33736,33286
33740,33307
33742,33438
33744,33279
33746,33749
33753,33279
33755,33279
33756,33279
33758,33453
33761,33573
33763,33438
33766,33769
33771,33307
33773,33775
33778,33545
33781,33279
33783,33279
33784,33273
33785,33787
33788,33791
33793,33448
33796,33798
33800,33307
33802,33273
33804,33545
33805,33273
33806,33307
33808,33545
33810,33812
33813,33307
33815,33438
33818,33279
33820,33822
33824,33307
33826,33828
33830,33573
33834,33273
33836,33307
33838,33840
33841,33775
33845,33307
33847,33438
33849,33279
33851,33854
33856,33307
33857,33307
33859,33861
33864,33866
33868,33870
33871,33279
33872,33568
33874,33438
33875,33438
33877,33279
33879,33279
33880,33453
33882,33448
33884,33307
33886,33307
33888,33307
33889,33307
33891,33307
33893,33598
33897,33307
33898,33438
33900,33902
33906,33273
33908,33307
33910,33273
33912,33279
33914,33916
33917,33769
33920,33273
33921,33590
33923,33279
33925,33928
33931,33366
33934,33936
33937,33279
33938,33273
33940,33266
33941,33273
33942,33294
33945,33621
33948,33545
33949,33312
33952,33279
33953,33438
33955,33438
33957,33273
33958,33279
33960,33307
33962,33307
33964,33966
33969,33307
33971,33279
33973,33976
33978,33307
33980,33273
33982,33307
33983,33307
33984,33840
33986,33798
