personID,managerID
0,1
33263,33264
33271,33272
33277,33278
33281,33282
33292,33293
33297,33298
33305,33306
33310,33311
33314,33315
33321,33322
33327,33328
33331,33332
33334,33335
33337,33338
33348,33349
33352,33353
33355,33356
33363,33364
33371,33372
33373,33374
33377,33378
33379,33380
33381,33382
33383,33384
33390,33391
33392,33380
33393,33394
33398,33399
33400,33401
33404,33405
33409,33410
33411,33412
33414,33415
33424,33425
33432,33433
33434,33435
33436,33437
33440,33441
33443,33444
33445,33446
33451,33452
33456,33457
33462,33463
33465,33466
33468,33469
33472,33473
33474,33475
33479,33272
33480,33481
33483,33484
33487,33488
33490,33491
33492,33493
33495,33496
33499,33500
33505,33506
33507,33508
33509,33510
33511,33512
33513,33514
33515,33516
33519,33520
33527,33528
33532,33533
33534,33535
33539,33540
33542,33543
33547,33548
33551,33552
33555,33556
33557,33558
33560,33561
33562,33278
33563,33564
33566,33567
33571,33572
33574,33575
33576,33577
33578,33579
33580,33581
33582,33583
33588,33589
33591,33592
33596,33597
33599,33600
33605,33606
33607,33608
33610,33611
33612,33613
33619,33620
33623,33624
33629,33630
33631,33632
33633,33634
33635,33636
33637,33638
33639,33640
33642,33643
33645,33646
33647,33648
33650,33466
33651,33652
33653,33638
33654,33655
33658,33659
33661,33577
33662,33663
33664,33665
33669,33581
33670,33671
33673,33674
33679,33680
33681,33682
33683,33684
33685,33686
33687,33688
33692,33693
33695,33696
33697,33698
33699,33700
33701,33491
33702,33703
33704,33705
33706,33707
33709,33710
33713,33293
33715,33540
33716,33717
33719,33674
33721,33722
33724,33725
33726,33727
33728,33729
33732,33488
33733,33734
33736,33737
33740,33741
33742,33743
33744,33745
33746,33747
33753,33754
33755,33734
33756,33757
33758,33759
33761,33762
33763,33764
33766,33767
33771,33772
33773,33774
33778,33779
33781,33782
33783,33652
33784,33640
33785,33786
33788,33789
33793,33794
33796,33797
33800,33801
33802,33803
33804,33779
33805,33632
33806,33807
33808,33543
33810,33811
33813,33814
33815,33816
33818,33819
33820,33821
33824,33825
33826,33827
33830,33831
33834,33835
33836,33837
33838,33839
33841,33842
33845,33846
33847,33848
33849,33850
33851,33852
33856,33814
33857,33858
33859,33860
33864,33865
33868,33869
33871,33705
33872,33873
33874,33488
33875,33876
33877,33878
33879,33444
