personID,personRollup1,personRollup2,personRollup3,personBusinessTitleDetail,personJobCode,personCompany,personJobFamily
0,2,3,4,8,9,10,11
33263,2,33265,4,8,33268,33269,33270
33271,2,3,4,8,33275,33276,11
33277,2,33265,4,8,33268,33269,33270
33281,33283,33284,33285,33288,33289,33290,33291
33292,2,33265,4,8,33268,33296,33270
33297,33299,33300,33301,8,33289,33290,33304
33305,2,3,4,8,33309,33296,11
33310,2,3,4,8,9,33313,11
33314,33316,33265,33317,8,33268,33320,33270
33321,33283,33323,33285,8,33326,33290,33291
33327,2,33265,4,8,33268,33330,33270
33331,2,33265,4,8,33268,33296,33270
33334,2,3,4,8,33275,33313,11
33337,33339,33340,33341,33344,33345,33346,33347
33348,33283,33265,33285,8,33268,33330,33270
33352,2,33265,4,8,33268,33269,33270
33355,33357,33358,33359,8,33326,33290,33362
33363,2,33365,4,8,33368,33369,33370
33371,2,33265,4,8,33268,33296,33270
33373,2,33265,4,8,33268,33296,33270
33377,2,3,4,8,33275,33296,11
33379,2,3,4,8,33275,33313,11
33381,2,33265,4,8,33268,33296,33270
33383,33316,33385,33317,8,33289,33388,33389
33390,2,33265,4,8,33268,33269,33270
33392,2,3,4,8,33275,33313,11
33393,33299,33395,33301,8,33268,33290,33270
33398,2,3,4,8,33275,33313,11
33400,33316,33385,33317,8,33309,33290,33403
33404,2,33365,4,8,33368,33408,33370
33409,2,33265,4,8,33268,10,33270
33411,2,33365,4,8,33309,33408,33370
33414,33416,33417,33418,33421,9,33422,33423
33424,33426,33427,33428,8,33431,33290,33430
33432,2,33265,4,8,33268,33296,33270
33434,2,3,4,8,33275,33276,11
33436,2,33265,4,8,33268,33439,33270
33440,2,3,4,8,33309,33313,11
33443,2,3,4,8,33275,33269,11
33445,33283,33447,33285,8,33289,33290,33450
33451,2,33265,4,8,33268,33455,33270
33456,33357,33458,33359,8,33431,33290,33461
33462,2,3,4,8,33309,33313,33403
33465,2,33265,4,8,33268,33313,33270
33468,33283,33284,33285,8,33431,33290,33291
33472,2,33265,4,8,33268,33296,33270
33474,33416,33476,33418,8,33431,33290,33430
33479,2,3,4,8,33275,33276,11
33480,2,33365,4,8,33368,33408,33370
33483,2,3,4,8,33431,33276,11
33487,2,3,4,8,33275,33313,11
33490,2,33265,4,8,33268,33313,33270
33492,2,33265,4,8,33268,33269,33270
33495,33283,33323,33285,8,33289,33290,33291
33499,33347,33501,33502,8,9,33504,33347
33505,2,33365,4,8,33368,33369,33370
33507,2,33265,4,8,33268,33296,33270
33509,2,33265,4,8,33268,33269,33270
33511,2,3,4,8,33275,33269,11
33513,2,33265,4,8,33268,33313,33270
33515,33357,33458,33359,8,33289,33290,33430
33519,33521,33522,33523,8,33345,33290,33526
33527,33416,33529,33418,8,33326,33290,33430
33532,2,33265,4,8,33268,33439,33270
33534,33283,33284,33285,33538,9,33290,33291
33539,2,3,4,8,33275,33313,11
33542,33521,33544,33523,8,33268,33290,33270
33547,33521,33265,33523,8,33268,33290,33270
33551,2,33265,4,8,33268,33296,33270
33555,2,33265,4,8,33268,33313,33270
33557,2,33265,4,8,33268,33269,33270
33560,2,33265,4,8,33268,33313,33270
33562,2,3,4,8,33275,33269,11
33563,2,33265,4,8,33268,33296,33270
33566,2,3,4,8,33275,33570,11
33571,33416,33529,33418,8,33289,33422,33430
33574,2,3,4,8,33275,33313,11
33576,2,3,4,8,33275,33296,11
33578,2,3,4,8,33275,33269,11
33580,2,3,4,8,33309,33313,11
33582,33283,33584,33285,8,33270,33586,33587
33588,2,33265,4,8,33268,33313,33270
33591,33416,33529,33418,8,9,33290,33595
33596,33339,33265,33341,33344,33268,33346,33270
33599,33299,33601,33301,8,33431,33290,33604
33605,2,33265,4,8,33268,10,33270
33607,2,33265,4,8,33268,33296,33270
33610,2,33365,4,8,33368,33369,33370
33612,33416,33614,33418,8,33431,33617,33618
33619,33426,33621,33428,8,9,33290,33430
33623,33521,33625,33523,8,33289,33290,33628
33629,2,3,4,8,33275,33313,11
33631,2,33265,4,8,33268,33269,33270
33633,2,33265,4,8,33268,33313,33270
33635,2,3,4,8,33275,33296,11
33637,2,33265,4,8,33268,33455,33270
33639,2,3,4,8,33309,33313,11
33642,33521,33544,33523,8,33268,33290,33270
33645,2,33265,4,8,33268,33269,33270
33647,2,3,4,8,33275,33296,11
33650,2,33265,4,8,33268,33313,33270
33651,2,33265,4,8,33268,33269,33270
33653,2,3,4,8,33275,33455,11
33654,33316,33385,33317,8,33289,33320,33657
33658,2,3,4,8,33309,33269,11
33661,2,3,4,8,33275,33296,11
33662,2,3,4,8,33275,33455,11
33664,33283,33666,33285,8,33431,33290,33461
33669,2,3,4,8,33309,33313,11
33670,2,3,4,8,9,33313,33403
33673,33426,33675,33428,8,33309,33290,33678
33679,33521,33544,33523,8,33268,33290,33270
33681,2,3,4,8,33275,33269,11
33683,2,3,4,8,33275,33269,11
33685,2,33265,4,8,33268,33296,33270
33687,33416,33689,33418,8,33289,33290,33430
33692,2,3,4,8,33309,33313,11
33695,2,33265,4,8,33268,33455,33270
33697,2,3,4,8,33275,33269,11
33699,2,3,4,8,33275,33570,11
33701,2,3,4,8,33275,33313,11
33702,2,3,4,8,33275,33570,11
33704,2,3,4,8,33275,33455,11
